a, Fruling'
0.563 , 18.5756
0.564 , 18.5754
0.565 , 18.5751
0.566 , 18.5749
0.567 , 18.5746
0.568 , 18.5744
0.569 , 18.5741
0.57 , 18.5739
0.571 , 18.5736
0.572 , 18.5733
0.573 , 18.5731
0.574 , 18.5728
0.575 , 18.5726
0.576 , 18.5723
0.577 , 18.572
0.578 , 18.5718
0.579 , 18.5715
0.58 , 18.5712
0.581 , 18.571
0.582 , 18.5707
0.583 , 18.5704
0.584 , 18.5702
0.585 , 18.5699
0.586 , 18.5696
0.587 , 18.5694
0.588 , 18.5691
0.589 , 18.5688
0.59 , 18.5685
0.591 , 18.5683
0.592 , 18.568
0.593 , 18.5677
0.594 , 18.5674
0.595 , 18.5672
0.596 , 18.5669
0.597 , 18.5666
0.598 , 18.5663
0.599 , 18.566
0.6 , 18.5657
0.601 , 18.5655
0.602 , 18.5652
0.603 , 18.5649
0.604 , 18.5646
0.605 , 18.5643
0.606 , 18.564
0.607 , 18.5637
0.608 , 18.5635
0.609 , 18.5632
0.61 , 18.5629
0.611 , 18.5626
0.612 , 18.5623
0.613 , 18.562
0.614 , 18.5617
0.615 , 18.5614
0.616 , 18.5611
0.617 , 18.5608
0.618 , 18.5605
0.619 , 18.5602
0.62 , 18.5599
0.621 , 18.5596
0.622 , 18.5593
0.623 , 18.559
0.624 , 18.5587
0.625 , 18.5584
0.626 , 18.5581
0.627 , 18.5578
0.628 , 18.5575
0.629 , 18.5572
0.63 , 18.5569
0.631 , 18.5566
0.632 , 18.5563
0.633 , 18.556
0.634 , 18.5557
0.635 , 18.5554
0.636 , 18.5551
0.637 , 18.5548
0.638 , 18.5545
0.639 , 18.5542
0.64 , 18.5539
0.641 , 18.5536
0.642 , 18.5533
0.643 , 18.553
0.644 , 18.5527
0.645 , 18.5524
0.646 , 18.5521
0.647 , 18.5517
0.648 , 18.5514
0.649 , 18.5511
0.65 , 18.5508
0.651 , 18.5505
0.652 , 18.5502
0.653 , 18.5499
0.654 , 18.5496
0.655 , 18.5493
0.656 , 18.549
0.657 , 18.5487
0.658 , 18.5483
0.659 , 18.548
0.66 , 18.5477
0.661 , 18.5474
0.662 , 18.5471
0.663 , 18.5468
0.664 , 18.5465
0.665 , 18.5462
0.666 , 18.5459
0.667 , 18.5456
0.668 , 18.5452
0.669 , 18.5449
0.67 , 18.5446
0.671 , 18.5443
0.672 , 18.544
0.673 , 18.5437
0.674 , 18.5434
0.675 , 18.5431
0.676 , 18.5428
0.677 , 18.5425
0.678 , 18.5422
0.679 , 18.5419
0.68 , 18.5415
0.681 , 18.5412
0.682 , 18.5409
0.683 , 18.5406
0.684 , 18.5403
0.685 , 18.54
0.686 , 18.5397
0.687 , 18.5394
0.688 , 18.5391
0.689 , 18.5388
0.69 , 18.5385
0.691 , 18.5382
0.692 , 18.5379
0.693 , 18.5376
0.694 , 18.5373
0.695 , 18.537
0.696 , 18.5367
0.697 , 18.5364
0.698 , 18.5361
0.699 , 18.5358
0.7 , 18.5355
0.701 , 18.5352
0.702 , 18.5349
0.703 , 18.5346
0.704 , 18.5343
0.705 , 18.534
0.706 , 18.5337
0.707 , 18.5334
0.708 , 18.5331
0.709 , 18.5328
0.71 , 18.5325
0.711 , 18.5322
0.712 , 18.5319
0.713 , 18.5317
0.714 , 18.5314
0.715 , 18.5311
0.716 , 18.5308
0.717 , 18.5305
0.718 , 18.5302
0.719 , 18.5299
0.72 , 18.5297
0.721 , 18.5294
0.722 , 18.5291
0.723 , 18.5288
0.724 , 18.5285
0.725 , 18.5283
0.726 , 18.528
0.727 , 18.5277
0.728 , 18.5274
0.729 , 18.5272
0.73 , 18.5269
0.731 , 18.5266
0.732 , 18.5264
0.733 , 18.5261
0.734 , 18.5258
0.735 , 18.5256
0.736 , 18.5253
0.737 , 18.525
0.738 , 18.5248
0.739 , 18.5245
0.74 , 18.5243
0.741 , 18.524
0.742 , 18.5238
0.743 , 18.5235
0.744 , 18.5232
0.745 , 18.523
0.746 , 18.5228
0.747 , 18.5225
0.748 , 18.5223
0.749 , 18.522
0.75 , 18.5218
0.751 , 18.5215
0.752 , 18.5213
0.753 , 18.5211
0.754 , 18.5208
