a, Fruling'
1.99125 , 7.99376
1.99225 , 8.01142
1.99325 , 8.02909
1.99425 , 8.04677
1.99525 , 8.06446
1.99625 , 8.08217
1.99725 , 8.09989
1.99825 , 8.11762
1.99925 , 8.13536
2.00025 , 8.15311
2.00125 , 8.17088
2.00225 , 8.18866
2.00325 , 8.20645
2.00425 , 8.22425
2.00525 , 8.24206
2.00625 , 8.25989
2.00725 , 8.27772
2.00825 , 8.29557
2.00925 , 8.31342
2.01025 , 8.33129
2.01125 , 8.34917
2.01225 , 8.36706
2.01325 , 8.38495
2.01425 , 8.40286
2.01525 , 8.42078
2.01625 , 8.43871
2.01725 , 8.45665
2.01825 , 8.4746
2.01925 , 8.49256
2.02025 , 8.51052
2.02125 , 8.5285
2.02225 , 8.54649
2.02325 , 8.56448
2.02425 , 8.58249
2.02525 , 8.6005
2.02625 , 8.61852
2.02725 , 8.63655
2.02825 , 8.65459
2.02925 , 8.67264
2.03025 , 8.6907
2.03125 , 8.70876
2.03225 , 8.72683
2.03325 , 8.74491
2.03425 , 8.763
2.03525 , 8.7811
2.03625 , 8.7992
2.03725 , 8.81732
2.03825 , 8.83544
2.03925 , 8.85356
2.04025 , 8.8717
2.04125 , 8.88984
2.04225 , 8.90799
2.04325 , 8.92614
2.04425 , 8.94431
2.04525 , 8.96248
2.04625 , 8.98065
2.04725 , 8.99884
2.04825 , 9.01703
2.04925 , 9.03522
2.05025 , 9.05343
2.05125 , 9.07163
2.05225 , 9.08985
2.05325 , 9.10807
2.05425 , 9.1263
2.05525 , 9.14453
2.05625 , 9.16277
2.05725 , 9.18101
2.05825 , 9.19926
2.05925 , 9.21752
2.06025 , 9.23578
2.06125 , 9.25405
2.06225 , 9.27232
2.06325 , 9.2906
2.06425 , 9.30888
2.06525 , 9.32716
2.06625 , 9.34546
2.06725 , 9.36375
2.06825 , 9.38205
2.06925 , 9.40036
2.07025 , 9.41867
2.07125 , 9.43699
2.07225 , 9.45531
2.07325 , 9.47363
2.07425 , 9.49196
2.07525 , 9.51029
2.07625 , 9.52862
2.07725 , 9.54696
2.07825 , 9.56531
2.07925 , 9.58366
2.08025 , 9.60201
