a(radian), a(degree) , Eruling, Ebend, Ebend
0.189, 10.8289 , 8.85649, 1695.69, 1
0.19, 10.8862 , 8.8564, 2073.56, 1
0.191, 10.9435 , 8.8563, 2594.51, 1
0.192, 11.0008 , 8.8562, 3341.08, 1
0.193, 11.0581 , 8.8561, 4465.21, 1
0.194, 11.1154 , 8.856, 6272.11, 1
0.195, 11.1727 , 8.8559, 9451.64, 1
0.196, 11.23 , 8.8558, 15849.6, 1
0.197, 11.2873 , 8.8557, 31904, 1
0.198, 11.3446 , 8.8556, 94510.8, 1
0.199, 11.4019 , 8.8555, 1.21753e+06, 1
0.2, 11.4592 , 8.8554, 481844, 1
0.201, 11.5165 , 8.8553, 69713.3, 1
0.202, 11.5737 , 8.8552, 26580.2, 1
0.203, 11.631 , 8.8551, 13909.6, 1
0.204, 11.6883 , 8.855, 8537.22, 1
0.205, 11.7456 , 8.85489, 5769.87, 1
0.206, 11.8029 , 8.85479, 4159.86, 1
0.207, 11.8602 , 8.85469, 3141.48, 1
0.208, 11.9175 , 8.85459, 2456.73, 1
0.209, 11.9748 , 8.85448, 1974.35, 1
0.21, 12.0321 , 8.85438, 1621.79, 1
0.211, 12.0894 , 8.85428, 1356.34, 1
0.212, 12.1467 , 8.85417, 1151.49, 1
0.213, 12.204 , 8.85407, 990.118, 1
0.214, 12.2613 , 8.85396, 860.736, 1
0.215, 12.3186 , 8.85386, 755.419, 1
0.216, 12.3759 , 8.85375, 668.551, 1
0.217, 12.4332 , 8.85365, 596.063, 1
0.218, 12.4905 , 8.85354, 534.951, 1
0.219, 12.5478 , 8.85343, 482.955, 1
0.22, 12.6051 , 8.85333, 438.349, 1
0.221, 12.6624 , 8.85322, 399.798, 1
0.222, 12.7197 , 8.85311, 366.256, 1
0.223, 12.777 , 8.85301, 336.892, 1
0.224, 12.8343 , 8.8529, 311.042, 1
0.225, 12.8916 , 8.85279, 288.168, 1
0.226, 12.9488 , 8.85268, 267.832, 1
0.227, 13.0061 , 8.85257, 249.672, 1
0.228, 13.0634 , 8.85246, 233.391, 1
0.229, 13.1207 , 8.85236, 218.739, 1
0.23, 13.178 , 8.85225, 205.506, 1
0.231, 13.2353 , 8.85214, 193.517, 1
0.232, 13.2926 , 8.85203, 182.622, 1
0.233, 13.3499 , 8.85192, 172.692, 1
0.234, 13.4072 , 8.85181, 163.618, 1
0.235, 13.4645 , 8.85169, 155.306, 1
0.236, 13.5218 , 8.85158, 147.673, 1
0.237, 13.5791 , 8.85147, 140.648, 1
0.238, 13.6364 , 8.85136, 134.17, 1
0.239, 13.6937 , 8.85125, 128.184, 1
0.24, 13.751 , 8.85114, 122.643, 1
0.241, 13.8083 , 8.85102, 117.505, 1
0.242, 13.8656 , 8.85091, 112.733, 1
0.243, 13.9229 , 8.8508, 108.293, 1
0.244, 13.9802 , 8.85068, 104.156, 1
0.245, 14.0375 , 8.85057, 100.297, 1
0.246, 14.0948 , 8.85046, 96.6923, 1
0.247, 14.1521 , 8.85034, 93.3207, 1
0.248, 14.2094 , 8.85023, 90.1636, 1
0.249, 14.2666 , 8.85011, 87.2043, 1
0.25, 14.3239 , 8.85, 84.4275, 1
0.251, 14.3812 , 8.84988, 81.8194, 1
0.252, 14.4385 , 8.84977, 79.3677, 1
0.253, 14.4958 , 8.84965, 77.0611, 1
0.254, 14.5531 , 8.84953, 74.8893, 1
0.255, 14.6104 , 8.84942, 72.8431, 1
0.256, 14.6677 , 8.8493, 70.9139, 1
0.257, 14.725 , 8.84918, 69.094, 1
0.258, 14.7823 , 8.84906, 67.3763, 1
0.259, 14.8396 , 8.84895, 65.7542, 1
0.26, 14.8969 , 8.84883, 64.222, 1
0.261, 14.9542 , 8.84871, 62.7741, 1
0.262, 15.0115 , 8.84859, 61.4055, 1
0.263, 15.0688 , 8.84847, 60.1115, 1
0.264, 15.1261 , 8.84835, 58.8881, 1
0.265, 15.1834 , 8.84823, 57.7311, 1
0.266, 15.2407 , 8.84811, 56.6371, 1
0.267, 15.298 , 8.84799, 55.6027, 1
0.268, 15.3553 , 8.84787, 54.6249, 1
0.269, 15.4126 , 8.84775, 53.7007, 1
0.27, 15.4699 , 8.84763, 52.8276, 1
0.271, 15.5272 , 8.84751, 52.0031, 1
0.272, 15.5845 , 8.84739, 51.225, 1
0.273, 15.6417 , 8.84727, 50.4913, 1
0.274, 15.699 , 8.84715, 49.7999, 1
0.275, 15.7563 , 8.84702, 49.1491, 1
0.276, 15.8136 , 8.8469, 48.5373, 1
0.277, 15.8709 , 8.84678, 47.9629, 1
0.278, 15.9282 , 8.84665, 47.4245, 1
0.279, 15.9855 , 8.84653, 46.9209, 1
0.28, 16.0428 , 8.84641, 46.4507, 1
0.281, 16.1001 , 8.84628, 46.013, 1
0.282, 16.1574 , 8.84616, 45.6067, 1
0.283, 16.2147 , 8.84603, 45.2309, 1
0.284, 16.272 , 8.84591, 44.8846, 1
0.285, 16.3293 , 8.84578, 44.5672, 1
0.286, 16.3866 , 8.84566, 44.2779, 1
0.287, 16.4439 , 8.84553, 44.0161, 1
0.288, 16.5012 , 8.84541, 43.7812, 1
0.289, 16.5585 , 8.84528, 43.5727, 1
0.29, 16.6158 , 8.84515, 43.3902, 1
0.291, 16.6731 , 8.84503, 43.2331, 1
0.292, 16.7304 , 8.8449, 43.1013, 1
0.293, 16.7877 , 8.84477, 42.9943, 1
0.294, 16.845 , 8.84465, 42.9121, 1
0.295, 16.9023 , 8.84452, 42.8542, 1
0.296, 16.9596 , 8.84439, 42.8208, 1
0.297, 17.0168 , 8.84426, 42.8116, 1
0.298, 17.0741 , 8.84413, 42.8266, 1
0.299, 17.1314 , 8.844, 42.8658, 1
0.3, 17.1887 , 8.84387, 42.9294, 1
0.301, 17.246 , 8.84374, 43.0173, 1
0.302, 17.3033 , 8.84361, 43.1298, 1
0.303, 17.3606 , 8.84348, 43.267, 1
0.304, 17.4179 , 8.84335, 43.4293, 1
0.305, 17.4752 , 8.84322, 43.6169, 1
0.306, 17.5325 , 8.84309, 43.8303, 1
0.307, 17.5898 , 8.84296, 44.0697, 1
0.308, 17.6471 , 8.84283, 44.3358, 1
0.309, 17.7044 , 8.8427, 44.629, 1
0.31, 17.7617 , 8.84256, 44.9499, 1
0.311, 17.819 , 8.84243, 45.2993, 1
0.312, 17.8763 , 8.8423, 45.6777, 1
0.313, 17.9336 , 8.84217, 46.086, 1
0.314, 17.9909 , 8.84203, 46.5252, 1
0.315, 18.0482 , 8.8419, 46.996, 1
0.316, 18.1055 , 8.84176, 47.4996, 1
0.317, 18.1628 , 8.84163, 48.037, 1
0.318, 18.2201 , 8.8415, 48.6095, 1
0.319, 18.2774 , 8.84136, 49.2183, 1
0.32, 18.3346 , 8.84123, 49.865, 1
0.321, 18.3919 , 8.84109, 50.5508, 1
0.322, 18.4492 , 8.84096, 51.2776, 1
0.323, 18.5065 , 8.84082, 52.047, 1
0.324, 18.5638 , 8.84068, 52.861, 1
0.325, 18.6211 , 8.84055, 53.7216, 1
0.326, 18.6784 , 8.84041, 54.631, 1
0.327, 18.7357 , 8.84027, 55.5915, 1
0.328, 18.793 , 8.84014, 56.6058, 1
0.329, 18.8503 , 8.84, 57.6765, 1
0.33, 18.9076 , 8.83986, 58.8067, 1
0.331, 18.9649 , 8.83972, 59.9996, 1
0.332, 19.0222 , 8.83959, 61.2586, 1
0.333, 19.0795 , 8.83945, 62.5875, 1
0.334, 19.1368 , 8.83931, 63.9903, 1
0.335, 19.1941 , 8.83917, 65.4714, 1
0.336, 19.2514 , 8.83903, 67.0356, 1
0.337, 19.3087 , 8.83889, 68.688, 1
0.338, 19.366 , 8.83875, 70.4342, 1
0.339, 19.4233 , 8.83861, 72.2803, 1
0.34, 19.4806 , 8.83847, 74.233, 1
0.341, 19.5379 , 8.83833, 76.2994, 1
0.342, 19.5952 , 8.83819, 78.4874, 1
0.343, 19.6525 , 8.83805, 80.8055, 1
0.344, 19.7097 , 8.83791, 83.2633, 1
0.345, 19.767 , 8.83776, 85.8709, 1
0.346, 19.8243 , 8.83762, 88.6396, 1
0.347, 19.8816 , 8.83748, 91.582, 1
0.348, 19.9389 , 8.83734, 94.7116, 1
0.349, 19.9962 , 8.83719, 98.0434, 1
0.35, 20.0535 , 8.83705, 101.594, 1
0.351, 20.1108 , 8.83691, 105.382, 1
0.352, 20.1681 , 8.83676, 109.428, 1
0.353, 20.2254 , 8.83662, 113.755, 1
0.354, 20.2827 , 8.83648, 118.387, 1
0.355, 20.34 , 8.83633, 123.353, 1
0.356, 20.3973 , 8.83555, 128.685, 1
0.357, 20.4546 , 8.83274, 134.418, 1
0.358, 20.5119 , 8.82993, 140.592, 1
0.359, 20.5692 , 8.82711, 147.253, 1
0.36, 20.6265 , 8.82428, 154.45, 1
0.361, 20.6838 , 8.82145, 162.242, 1
0.362, 20.7411 , 8.8186, 170.695, 1
0.363, 20.7984 , 8.81576, 179.885, 1
0.364, 20.8557 , 8.8129, 189.897, 1
0.365, 20.913 , 8.81004, 200.831, 1
0.366, 20.9703 , 8.80717, 212.802, 1
0.367, 21.0276 , 8.80429, 225.943, 1
0.368, 21.0848 , 8.80141, 240.411, 1
0.369, 21.1421 , 8.79851, 256.388, 1
0.37, 21.1994 , 8.79562, 274.089, 1
0.371, 21.2567 , 8.79271, 293.769, 1
0.372, 21.314 , 8.7898, 315.732, 1
0.373, 21.3713 , 8.78688, 340.341, 1
0.374, 21.4286 , 8.78395, 368.038, 1
0.375, 21.4859 , 8.78102, 399.357, 1
0.376, 21.5432 , 8.77808, 434.956, 1
0.377, 21.6005 , 8.77513, 475.646, 1
0.378, 21.6578 , 8.77217, 522.443, 1
0.379, 21.7151 , 8.76921, 576.628, 1
0.38, 21.7724 , 8.76624, 639.834, 1
0.381, 21.8297 , 8.76326, 714.175, 1
0.382, 21.887 , 8.76028, 802.421, 1
0.383, 21.9443 , 8.75729, 908.258, 1
0.384, 22.0016 , 8.75429, 1036.68, 1
0.385, 22.0589 , 8.75129, 1194.58, 1
