a, Eruling, Fbend,
3.195,4.94457,126.621,1
3.196,4.94365,128.52,1
3.197,4.94274,130.741,1
3.198,4.94182,133.297,1
3.199,4.9409,136.209,1
3.2,4.93998,139.498,1
3.201,4.93906,143.189,1
3.202,4.93814,147.312,1
3.203,4.93722,151.902,1
3.204,4.93629,156.997,1
3.205,4.93537,162.645,1
3.206,4.93444,168.898,1
3.207,4.93351,175.818,1
3.208,4.93258,183.476,1
3.209,4.93165,191.953,1
3.21,4.93072,201.348,1
3.211,4.92979,211.771,1
3.212,4.92886,223.355,1
3.213,4.92792,236.254,1
3.214,4.92699,250.652,1
3.215,4.92605,266.767,1
3.216,4.92511,284.859,1
3.217,4.92417,305.243,1
3.218,4.92323,328.297,1
3.219,4.92229,354.486,1
3.22,4.92135,384.381,1
3.221,4.92041,418.688,1
3.222,4.91946,458.296,1
3.223,4.91852,504.328,1
3.224,4.91757,558.224,1
3.225,4.91662,621.852,1
3.226,4.91567,697.673,1
3.227,4.91472,788.978,1
3.228,4.91377,900.252,1
3.229,4.91282,1037.73,1
3.23,4.91187,1210.3,1
3.231,4.91091,1430.93,1
3.232,4.90996,1719.25,1
3.233,4.909,2105.95,1
3.234,4.90804,2641.43,1
3.235,4.90708,3412.94,1
3.236,4.90612,4582.55,1
3.237,4.90516,6479.69,1
3.238,4.9042,9861.2,1
3.239,4.90323,16801.7,1
3.24,4.90227,34838.7,1
3.241,4.9013,111165,1
3.242,4.90033,2.44E+06,1
3.243,4.89937,338790,1
3.244,4.8984,60196.1,1
3.245,4.89742,24169.7,1
3.246,4.89645,12951.9,1
3.247,4.89548,8059.38,1
3.248,4.89451,5496.34,1
3.249,4.89353,3988.25,1
3.25,4.89255,3026.54,1
3.251,4.89157,2375.89,1
3.252,4.8906,1915.28,1
3.253,4.88962,1577.29,1
3.254,4.88863,1321.95,1
3.255,4.88765,1124.34,1
3.256,4.88667,968.283,1
3.257,4.88568,842.88,1
3.258,4.8847,740.593,1
3.259,4.88371,656.066,1
3.26,4.88272,585.41,1
3.261,4.88173,525.743,1
3.262,4.88074,474.895,1
3.263,4.87975,431.209,1
3.264,4.87875,393.396,1
3.265,4.87776,360.448,1
3.266,4.87676,331.562,1
3.267,4.87577,306.096,1
3.268,4.87477,283.528,1
3.269,4.87377,263.434,1
3.27,4.87277,245.464,1
3.271,4.87177,229.328,1
3.272,4.87076,214.783,1
3.273,4.86976,201.626,1
3.274,4.86875,189.685,1
3.275,4.86775,178.815,1
3.276,4.86674,168.89,1
3.277,4.86573,159.803,1
3.278,4.86472,151.463,1
3.279,4.86371,143.788,1
3.28,4.86269,136.71,1
3.281,4.86168,130.169,1
3.282,4.86066,124.11,1
3.283,4.85965,118.487,1
3.284,4.85863,113.259,1
3.285,4.85761,108.39,1
3.286,4.85659,103.848,1
3.287,4.85557,99.6031,1
3.288,4.85455,95.6302,1
3.289,4.85352,91.9065,1
3.29,4.8525,88.4113,1
3.291,4.85147,85.1262,1
3.292,4.85044,82.0345,1
3.293,4.84941,79.1213,1
3.294,4.84838,76.373,1
3.295,4.84735,73.7773,1
3.296,4.84632,71.3229,1
3.297,4.84529,68.9998,1
3.298,4.84425,66.7986,1
3.299,4.84321,64.7109,1
3.3,4.84218,62.729,1
3.301,4.84114,60.8459,1
3.302,4.8401,59.0549,1
3.303,4.83905,57.3501,1
3.304,4.83801,55.7261,1
3.305,4.83697,54.1778,1
3.306,4.83592,52.7005,1
3.307,4.83488,51.2899,1
3.308,4.83383,49.9421,1
3.309,4.83278,48.6533,1
3.31,4.83173,47.4201,1
3.311,4.83068,46.2394,1
3.312,4.82962,45.1082,1
3.313,4.82857,44.0237,1
3.314,4.82751,42.9834,1
3.315,4.82645,41.985,1
3.316,4.8254,41.0261,1
3.317,4.82434,40.1048,1
3.318,4.82328,39.2191,1
3.319,4.82221,38.3672,1
3.32,4.82115,37.5473,1
3.321,4.82009,36.7579,1
3.322,4.81902,35.9975,1
3.323,4.81795,35.2647,1
3.324,4.81688,34.5582,1
3.325,4.81581,33.8767,1
3.326,4.81474,33.2191,1
3.327,4.81367,32.5842,1
3.328,4.81259,31.9711,1
3.329,4.81152,31.3787,1
3.33,4.81044,30.8062,1
3.331,4.80936,30.2526,1
3.332,4.80828,29.7172,1
3.333,4.8072,29.1991,1
3.334,4.80612,28.6977,1
3.335,4.80504,28.2122,1
3.336,4.80395,27.742,1
3.337,4.80287,27.2865,1
3.338,4.80178,26.845,1
3.339,4.80069,26.417,1
3.34,4.7996,26.0019,1
3.341,4.79851,25.5994,1
3.342,4.79742,25.2087,1
3.343,4.79632,24.8297,1
3.344,4.79523,24.4616,1
3.345,4.79413,24.1043,1
3.346,4.79303,23.7572,1
3.347,4.79193,23.42,1
3.348,4.79083,23.0923,1
3.349,4.78973,22.7738,1
3.35,4.78863,22.4642,1
3.351,4.78752,22.1631,1
3.352,4.78641,21.8703,1
3.353,4.78531,21.5854,1
3.354,4.7842,21.3082,1
3.355,4.78309,21.0385,1
3.356,4.78198,20.7759,1
3.357,4.78086,20.5203,1
3.358,4.77975,20.2713,1
3.359,4.77863,20.0289,1
3.36,4.77751,19.7928,1
3.361,4.77639,19.5627,1
3.362,4.77527,19.3385,1
3.363,4.77415,19.1201,1
3.364,4.77303,18.9071,1
3.365,4.77191,18.6995,1
3.366,4.77078,18.4972,1
3.367,4.76965,18.2998,1
3.368,4.76852,18.1074,1
3.369,4.76739,17.9197,1
3.37,4.76626,17.7366,1
3.371,4.76513,17.5579,1
3.372,4.76399,17.3836,1
3.373,4.76286,17.2136,1
3.374,4.76172,17.0476,1
3.375,4.76058,16.8856,1
3.376,4.75944,16.7275,1
3.377,4.7583,16.5731,1
3.378,4.75716,16.4225,1
3.379,4.75601,16.2753,1
3.38,4.75487,16.1317,1
3.381,4.75372,15.9914,1
3.382,4.75257,15.8545,1
3.383,4.75142,15.7207,1
3.384,4.75027,15.5901,1
3.385,4.74912,15.4625,1
3.386,4.74796,15.3379,1
3.387,4.74681,15.2161,1
3.388,4.74565,15.0972,1
3.389,4.74449,14.9811,1
3.39,4.74333,14.8676,1
3.391,4.74217,14.7568,1
3.392,4.74101,14.6485,1
3.393,4.73984,14.5428,1
3.394,4.73868,14.4394,1
3.395,4.73751,14.3385,1
3.396,4.73634,14.2399,1
3.397,4.73517,14.1435,1
3.398,4.734,14.0494,1
3.399,4.73282,13.9575,1
3.4,4.73165,13.8677,1
3.401,4.73047,13.78,1
3.402,4.72929,13.6944,1
3.403,4.72812,13.6107,1
3.404,4.72693,13.529,1
3.405,4.72575,13.4493,1
3.406,4.72457,13.3714,1
3.407,4.72338,13.2953,1
3.408,4.7222,13.2211,1
3.409,4.72101,13.1486,1
