a, Fruling, Fbend
3.43859,4.68515,11.6726
3.43959,4.68391,11.6419
3.44059,4.68267,11.6123
3.44159,4.68143,11.5837
3.44259,4.68019,11.5562
3.44359,4.67895,11.5297
3.44459,4.67771,11.5043
3.44559,4.67646,11.4798
3.44659,4.67522,11.4564
3.44759,4.67397,11.4341
3.44859,4.67272,11.4127
3.44959,4.67147,11.3923
3.45059,4.67021,11.3728
3.45159,4.66896,11.3544
3.45259,4.6677,11.3369
3.45359,4.66644,11.3203
3.45459,4.66518,11.3047
3.45559,4.66392,11.2901
3.45659,4.66266,11.2764
3.45759,4.66139,11.2636
3.45859,4.66013,11.2517
3.45959,4.65886,11.2408
3.46059,4.65759,11.2308
3.46159,4.65632,11.2217
3.46259,4.65505,11.2135
3.46359,4.65377,11.2062
3.46459,4.6525,11.1997
3.46559,4.65122,11.1942
3.46659,4.64994,11.1896
3.46759,4.64866,11.1859
3.46859,4.64737,11.183
3.46959,4.64609,11.181
3.47059,4.6448,11.1799
3.47159,4.64352,11.1797
3.47259,4.64223,11.1804
3.47359,4.64094,11.1819
3.47459,4.63964,11.1844
3.47559,4.63835,11.1876
3.47659,4.63705,11.1918
3.47759,4.63575,11.1969
3.47859,4.63445,11.2028
3.47959,4.63315,11.2096
3.48059,4.63185,11.2172
3.48159,4.63054,11.2258
3.48259,4.62924,11.2352
3.48359,4.62793,11.2455
3.48459,4.62662,11.2566
3.48559,4.62531,11.2687
3.48659,4.624,11.2816
3.48759,4.62268,11.2955
3.48859,4.62136,11.3102
3.48959,4.62004,11.3258
3.49059,4.61872,11.3423
3.49159,4.6174,11.3597
3.49259,4.61608,11.3781
3.49359,4.61475,11.3973
3.49459,4.61343,11.4174
3.49559,4.6121,11.4385
3.49659,4.61077,11.4605
3.49759,4.60943,11.4834
3.49859,4.6081,11.5073
3.49959,4.60676,11.5321
3.50059,4.60543,11.5578
3.50159,4.60409,11.5845
3.50259,4.60274,11.6122
3.50359,4.6014,11.6408
3.50459,4.60006,11.6704
3.50559,4.59871,11.701
3.50659,4.59736,11.7326
3.50759,4.59601,11.7651
3.50859,4.59466,11.7987
3.50959,4.59331,11.8333
3.51059,4.59195,11.869
3.51159,4.59059,11.9057
3.51259,4.58923,11.9434
3.51359,4.58787,11.9822
3.51459,4.58651,12.022
3.51559,4.58515,12.063
3.51659,4.58378,12.105
3.51759,4.58241,12.1482
3.51859,4.58104,12.1924
3.51959,4.57967,12.2378
3.52059,4.57829,12.2844
3.52159,4.57692,12.3321
3.52259,4.57554,12.381
3.52359,4.57416,12.4311
3.52459,4.57278,12.4823
3.52559,4.5714,12.5348
3.52659,4.57001,12.5886
3.52759,4.56863,12.6436
3.52859,4.56724,12.6998
3.52959,4.56585,12.7574
3.53059,4.56446,12.8163
3.53159,4.56306,12.8765
3.53259,4.56167,12.938
3.53359,4.56027,13.0009
3.53459,4.55887,13.0652
3.53559,4.55747,13.1309
3.53659,4.55606,13.198
3.53759,4.55466,13.2666
3.53859,4.55325,13.3367
3.53959,4.55184,13.4082
3.54059,4.55043,13.4813
3.54159,4.54902,13.5559
3.54259,4.5476,13.6321
3.54359,4.54619,13.71
3.54459,4.54477,13.7894
3.54559,4.54335,13.8705
3.54659,4.54192,13.9533
3.54759,4.5405,14.0378
3.54859,4.53907,14.124
3.54959,4.53764,14.2121
3.55059,4.53621,14.3019
3.55159,4.53478,14.3936
3.55259,4.53335,14.4872
3.55359,4.53191,14.5827
3.55459,4.53047,14.6801
3.55559,4.52903,14.7795
3.55659,4.52759,14.881
3.55759,4.52615,14.9845
3.55859,4.5247,15.0901
3.55959,4.52325,15.1979
3.56059,4.5218,15.3079
3.56159,4.52035,15.4201
3.56259,4.5189,15.5346
3.56359,4.51744,15.6515
3.56459,4.51599,15.7707
3.56559,4.51453,15.8924
3.56659,4.51306,16.0165
3.56759,4.5116,16.1432
3.56859,4.51013,16.2724
3.56959,4.50867,16.4044
3.57059,4.5072,16.539
3.57159,4.50572,16.6764
3.57259,4.50425,16.8166
3.57359,4.50278,16.9597
3.57459,4.5013,17.1058
3.57559,4.49982,17.2549
3.57659,4.49834,17.4071
3.57759,4.49685,17.5625
3.57859,4.49537,17.7211
3.57959,4.49388,17.8831
3.58059,4.49239,18.0484
3.58159,4.4909,18.2173
