a(radian),a(degree),Eruling, Ebend
0.183,10.4851, 8.94787, 241.007, 1
0.184,10.5424, 8.94874, 229.189, 1
0.185,10.5997, 8.94962, 218.276, 1
0.186,10.657, 8.95049, 208.177, 1
0.187,10.7143, 8.95137, 198.811, 1
0.188,10.7716, 8.95225, 190.107, 1
0.189,10.8289, 8.95313, 182.002, 1
0.19,10.8862, 8.95401, 174.441, 1
0.191,10.9435, 8.95489, 167.377, 1
0.192,11.0008, 8.95577, 160.765, 1
0.193,11.0581, 8.95665, 154.567, 1
0.194,11.1154, 8.95754, 148.748, 1
0.195,11.1727, 8.95842, 143.277, 1
0.196,11.23, 8.95931, 138.126, 1
0.197,11.2873, 8.9602, 133.271, 1
0.198,11.3446, 8.96109, 128.688, 1
0.199,11.4019, 8.96198, 124.358, 1
0.2,11.4592, 8.96287, 120.261, 1
0.201,11.5165, 8.96376, 116.381, 1
0.202,11.5737, 8.96466, 112.703, 1
0.203,11.631, 8.96555, 109.212, 1
0.204,11.6883, 8.96645, 105.896, 1
0.205,11.7456, 8.96734, 102.742, 1
0.206,11.8029, 8.96824, 99.7414, 1
0.207,11.8602, 8.96914, 96.883, 1
0.208,11.9175, 8.97004, 94.158, 1
0.209,11.9748, 8.97095, 91.5582, 1
0.21,12.0321, 8.97185, 89.0758, 1
0.211,12.0894, 8.97275, 86.7038, 1
0.212,12.1467, 8.97366, 84.4356, 1
0.213,12.204, 8.97457, 82.2652, 1
0.214,12.2613, 8.97548, 80.187, 1
0.215,12.3186, 8.97638, 78.1956, 1
0.216,12.3759, 8.9773, 76.2864, 1
0.217,12.4332, 8.97821, 74.4547, 1
0.218,12.4905, 8.97912, 72.6965, 1
0.219,12.5478, 8.98003, 71.0077, 1
0.22,12.6051, 8.98095, 69.3848, 1
0.221,12.6624, 8.98187, 67.8243, 1
0.222,12.7197, 8.98278, 66.323, 1
0.223,12.777, 8.9837, 64.8779, 1
0.224,12.8343, 8.98462, 63.4864, 1
0.225,12.8916, 8.98555, 62.1457, 1
0.226,12.9488, 8.98647, 60.8533, 1
0.227,13.0061, 8.98739, 59.6071, 1
0.228,13.0634, 8.98832, 58.4047, 1
0.229,13.1207, 8.98925, 57.2442, 1
0.23,13.178, 8.99017, 56.1237, 1
0.231,13.2353, 8.9911, 55.0413, 1
