a(radian),a(degree),Eruling, Ebend, Eparalell,
2.554,146.333,72.4035,2.59433,3.31086,1
2.555,146.391,72.4429,2.59958,3.3132,1
2.556,146.448,72.4822,2.60485,3.31552,1
2.557,146.505,72.5214,2.61014,3.31784,1
2.558,146.563,72.5606,2.61546,3.32014,1
2.559,146.62,72.5997,2.6208,3.32243,1
2.56,146.677,72.6388,2.62617,3.32471,1
2.561,146.734,72.6779,2.63157,3.32697,1
2.562,146.792,72.7168,2.63699,3.32923,1
2.563,146.849,72.7557,2.64244,3.33148,1
2.564,146.906,72.7946,2.64792,3.33371,1
2.565,146.964,72.8334,2.65342,3.33594,1
2.566,147.021,72.8721,2.65895,3.33815,1
2.567,147.078,72.9108,2.66451,3.34035,1
2.568,147.136,72.9495,2.67009,3.34254,1
2.569,147.193,72.988,2.6757,3.34472,1
2.57,147.25,73.0266,2.68134,3.34689,1
2.571,147.307,73.065,2.68701,3.34905,1
2.572,147.365,73.1034,2.69271,3.3512,1
2.573,147.422,73.1418,2.69843,3.35334,1
2.574,147.479,73.1801,2.70418,3.35546,1
2.575,147.537,73.2183,2.70996,3.35758,1
2.576,147.594,73.2565,2.71577,3.35969,1
2.577,147.651,73.2946,2.72161,3.36178,1
2.578,147.709,73.3327,2.72748,3.36387,1
2.579,147.766,73.3707,2.73338,3.36594,1
2.58,147.823,73.4087,2.73931,3.36801,1
2.581,147.88,73.4466,2.74527,3.37006,1
2.582,147.938,73.4845,2.75125,3.37211,1
2.583,147.995,73.5222,2.75727,3.37414,1
2.584,148.052,73.56,2.76332,3.37617,1
2.585,148.11,73.5977,2.7694,3.37818,1
2.586,148.167,73.6353,2.77551,3.38019,1
2.587,148.224,73.6728,2.78166,3.38218,1
2.588,148.281,73.7104,2.78783,3.38417,1
2.589,148.339,73.7478,2.79404,3.38614,1
2.59,148.396,73.7852,2.80027,3.38811,1
2.591,148.453,73.8225,2.80655,3.39006,1
2.592,148.511,73.8598,2.81285,3.39201,1
2.593,148.568,73.8971,2.81918,3.39395,1
2.594,148.625,73.9342,2.82555,3.39587,1
2.595,148.683,73.9713,2.83196,3.39779,1
2.596,148.74,74.0084,2.83839,3.3997,1
2.597,148.797,74.0454,2.84486,3.4016,1
2.598,148.854,74.0823,2.85137,3.40349,1
2.599,148.912,74.1192,2.8579,3.40537,1
2.6,148.969,74.156,2.86448,3.40724,1
2.601,149.026,74.1928,2.87108,3.4091,1
2.602,149.084,74.2295,2.87773,3.41096,1
2.603,149.141,74.2662,2.8844,3.4128,1
2.604,149.198,74.3028,2.89112,3.41464,1
2.605,149.256,74.3393,2.89787,3.41646,1
2.606,149.313,74.3758,2.90465,3.41828,1
2.607,149.37,74.4122,2.91148,3.42009,1
2.608,149.427,74.4486,2.91834,3.42188,1
2.609,149.485,74.4849,2.92523,3.42367,1
2.61,149.542,74.5212,2.93217,3.42546,1
2.611,149.599,74.5574,2.93914,3.42723,1
2.612,149.657,74.5935,2.94615,3.42899,1
2.613,149.714,74.6296,2.95319,3.43075,1
2.614,149.771,74.6656,2.96028,3.43249,1
2.615,149.828,74.7016,2.9674,3.43423,1
2.616,149.886,74.7375,2.97457,3.43596,1
2.617,149.943,74.7733,2.98177,3.43768,1
2.618,150,74.8091,2.98902,3.4394,1
2.619,150.058,74.8449,2.9963,3.4411,1
2.62,150.115,74.8805,3.00362,3.4428,1
2.621,150.172,74.9162,3.01099,3.44448,1
2.622,150.23,74.9517,3.01839,3.44616,1
2.623,150.287,74.9872,3.02584,3.44783,1
2.624,150.344,75.0227,3.03333,3.4495,1
2.625,150.401,75.0581,3.04086,3.45115,1
2.626,150.459,75.0934,3.04843,3.4528,1
2.627,150.516,75.1287,3.05605,3.45444,1
2.628,150.573,75.1639,3.06371,3.45607,1
2.629,150.631,75.199,3.07141,3.45769,1
2.63,150.688,75.2341,3.07916,3.4593,1
2.631,150.745,75.2692,3.08695,3.46091,1
2.632,150.802,75.3042,3.09479,3.46251,1
2.633,150.86,75.3391,3.10267,3.4641,1
2.634,150.917,75.3739,3.11059,3.46568,1
2.635,150.974,75.4087,3.11856,3.46726,1
2.636,151.032,75.4435,3.12658,3.46883,1
2.637,151.089,75.4782,3.13465,3.47039,1
2.638,151.146,75.5128,3.14276,3.47194,1
2.639,151.204,75.5474,3.15092,3.47348,1
2.64,151.261,75.5819,3.15912,3.47502,1
2.641,151.318,75.6164,3.16737,3.47655,1
2.642,151.375,75.6508,3.17568,3.47807,1
2.643,151.433,75.6851,3.18403,3.47959,1
2.644,151.49,75.7194,3.19243,3.48109,1
2.645,151.547,75.7536,3.20088,3.48259,1
2.646,151.605,75.7877,3.20938,3.48408,1
2.647,151.662,75.8218,3.21793,3.48557,1
2.648,151.719,75.8559,3.22653,3.48705,1
2.649,151.777,75.8899,3.23518,3.48852,1
2.65,151.834,75.9238,3.24389,3.48998,1
2.651,151.891,75.9577,3.25265,3.49144,1
2.652,151.948,75.9915,3.26146,3.49289,1
2.653,152.006,76.0252,3.27032,3.49433,1
2.654,152.063,76.0589,3.27924,3.49576,1
2.655,152.12,76.0925,3.28821,3.49719,1
2.656,152.178,76.1261,3.29723,3.49861,1
2.657,152.235,76.1596,3.30631,3.50003,1
2.658,152.292,76.1931,3.31545,3.50143,1
2.659,152.349,76.2265,3.32464,3.50283,1
2.66,152.407,76.2598,3.33389,3.50423,1
2.661,152.464,76.2931,3.3432,3.50561,1
2.662,152.521,76.3263,3.35256,3.50699,1
2.663,152.579,76.3594,3.36198,3.50836,1
2.664,152.636,76.3925,3.37146,3.50973,1
2.665,152.693,76.4256,3.381,3.51109,1
2.666,152.751,76.4585,3.3906,3.51244,1
2.667,152.808,76.4914,3.40026,3.51379,1
2.668,152.865,76.5243,3.40998,3.51513,1
2.669,152.922,76.5571,3.41976,3.51646,1
2.67,152.98,76.5898,3.42961,3.51779,1
2.671,153.037,76.6225,3.43951,3.51911,1
2.672,153.094,76.6551,3.44948,3.52042,1
2.673,153.152,76.6877,3.45952,3.52173,1
