a, Eruling, Ebend
3.52559 , 293.261, 301.437
3.52659 , 293.241, 310.32
3.52759 , 293.222, 319.677
3.52859 , 293.202, 329.544
3.52959 , 293.182, 339.962
3.53059 , 293.162, 350.974
3.53159 , 293.143, 362.628
3.53259 , 293.123, 374.979
3.53359 , 293.103, 388.086
3.53459 , 293.083, 402.016
3.53559 , 293.063, 416.843
3.53659 , 293.043, 432.651
3.53759 , 293.023, 449.534
3.53859 , 293.003, 467.596
3.53959 , 292.982, 486.959
3.54059 , 292.962, 507.757
3.54159 , 292.942, 530.145
3.54259 , 292.921, 554.301
3.54359 , 292.901, 580.426
3.54459 , 292.88, 608.758
3.54559 , 292.86, 639.566
3.54659 , 292.839, 673.17
3.54759 , 292.819, 709.94
3.54859 , 292.798, 750.316
3.54959 , 292.777, 794.818
3.55059 , 292.757, 844.067
3.55159 , 292.736, 898.813
3.55259 , 292.715, 959.964
3.55359 , 292.694, 1028.63
3.55459 , 292.673, 1106.18
3.55559 , 292.652, 1194.34
3.55659 , 292.631, 1295.26
3.55759 , 292.61, 1411.7
3.55859 , 292.589, 1547.25
3.55959 , 292.568, 1706.61
3.56059 , 292.546, 1896.09
3.56159 , 292.525, 2124.29
3.56259 , 292.504, 2403.19
3.56359 , 292.482, 2749.95
3.56459 , 292.461, 3189.79
3.56559 , 292.44, 3761.14
3.56659 , 292.418, 4524.93
3.56759 , 292.397, 5582.53
3.56859 , 292.375, 7113.12
3.56959 , 292.353, 9458.35
3.57059 , 292.332, 13338.2
3.57159 , 292.31, 20494
3.57259 , 292.288, 36092
3.57359 , 292.266, 81707.1
3.57459 , 292.244, 346715
3.57559 , 292.222, 6.79664e+07
3.57659 , 292.2, 266597
3.57759 , 292.178, 72490.8
3.57859 , 292.156, 34189.5
3.57959 , 292.134, 20625.2
3.58059 , 292.112, 14460.9
3.58159 , 292.09, 11309.4
3.58259 , 292.068, 9665.41
3.58359 , 292.045, 8925.28
3.58459 , 292.023, 8847.57
3.58559 , 292.001, 9384.24
3.58659 , 291.978, 10648.3
3.58759 , 291.956, 12978.5
3.58859 , 291.933, 17176.2
3.58959 , 291.911, 25257.5
3.59059 , 291.888, 43339.8
3.59159 , 291.866, 97709.8
3.59259 , 291.843, 436808
3.59359 , 291.82, 2.14911e+07
3.59459 , 291.798, 267672
3.59559 , 291.775, 79134.3
3.59659 , 291.752, 40722.2
3.59759 , 291.729, 28087.1
3.59859 , 291.706, 24293.9
3.59959 , 291.683, 26027.4
3.60059 , 291.66, 35018.1
3.60159 , 291.637, 62469.6
3.60259 , 291.614, 179369
3.60359 , 291.591, 2.90253e+06
3.60459 , 291.568, 679002
3.60559 , 291.545, 112606
3.60659 , 291.521, 45590.6
3.60759 , 291.498, 25095.9
3.60859 , 291.475, 16167
3.60959 , 291.452, 11458.8
3.61059 , 291.428, 8659.09
3.61159 , 291.405, 6851.1
3.61259 , 291.381, 5611.53
3.61359 , 291.358, 4722.52
3.61459 , 291.334, 4062.42
3.61559 , 291.311, 3558.79
3.61659 , 291.287, 3166.26
3.61759 , 291.264, 2855.19
3.61859 , 291.24, 2605.52
3.61959 , 291.216, 2403.33
3.62059 , 291.193, 2238.69
3.62159 , 291.169, 2104.4
3.62259 , 291.145, 1995.17
3.62359 , 291.121, 1907.07
3.62459 , 291.097, 1837.19
3.62559 , 291.074, 1783.36
3.62659 , 291.05, 1744.05
3.62759 , 291.026, 1718.19
3.62859 , 291.002, 1705.16
3.62959 , 290.978, 1704.68
3.63059 , 290.954, 1716.88
3.63159 , 290.93, 1742.22
3.63259 , 290.905, 1781.6
3.63359 , 290.881, 1836.35
3.63459 , 290.857, 1908.39
3.63559 , 290.833, 2000.34
3.63659 , 290.809, 2115.72
3.63759 , 290.785, 2259.3
3.63859 , 290.76, 2437.53
3.63959 , 290.736, 2659.2
3.64059 , 290.712, 2936.58
3.64159 , 290.687, 3287.01
3.64259 , 290.663, 3735.63
3.64359 , 290.639, 4320.01
3.64459 , 290.614, 5098.15
3.64559 , 290.59, 6163.49
3.64659 , 290.565, 7674.36
3.64759 , 290.541, 9916.74
3.64859 , 290.517, 13451
3.64959 , 290.492, 19501.5
3.65059 , 290.467, 31185.3
3.65159 , 290.443, 58524.7
3.65259 , 290.418, 150193
3.65359 , 290.394, 978481
3.65459 , 290.369, 3.13644e+06
3.65559 , 290.345, 219553
3.65659 , 290.32, 73747.4
3.65759 , 290.295, 37121
3.65859 , 290.271, 22717.7
3.65959 , 290.246, 15673.6
3.66059 , 290.221, 11772.5
