a(radian),a(degree),Eruling, Ebend
0.546,31.2835, 294.493, 21.0306, 1
0.547,31.3408, 294.484, 20.9818, 1
0.548,31.3981, 294.474, 20.9333, 1
0.549,31.4554, 294.464, 20.8849, 1
0.55,31.5127, 294.454, 20.8366, 1
0.551,31.57, 294.444, 20.7886, 1
0.552,31.6273, 294.434, 20.7408, 1
0.553,31.6846, 294.424, 20.6932, 1
0.554,31.7419, 294.414, 20.6458, 1
0.555,31.7992, 294.405, 20.5985, 1
0.556,31.8565, 294.395, 20.5514, 1
0.557,31.9137, 294.385, 20.5046, 1
0.558,31.971, 294.375, 20.4579, 1
0.559,32.0283, 294.365, 20.4114, 1
0.56,32.0856, 294.354, 20.3651, 1
0.561,32.1429, 294.344, 20.3189, 1
0.562,32.2002, 294.334, 20.273, 1
0.563,32.2575, 294.324, 20.2272, 1
0.564,32.3148, 294.314, 20.1816, 1
0.565,32.3721, 294.304, 20.1362, 1
0.566,32.4294, 294.294, 20.0909, 1
0.567,32.4867, 294.284, 20.0459, 1
0.568,32.544, 294.273, 20.001, 1
0.569,32.6013, 294.263, 19.9563, 1
0.57,32.6586, 294.253, 19.9117, 1
0.571,32.7159, 294.243, 19.8673, 1
0.572,32.7732, 294.232, 19.8231, 1
0.573,32.8305, 294.222, 19.7791, 1
0.574,32.8878, 294.212, 19.7353, 1
0.575,32.9451, 294.201, 19.6916, 1
0.576,33.0024, 294.191, 19.6481, 1
0.577,33.0597, 294.181, 19.6047, 1
0.578,33.117, 294.17, 19.5615, 1
0.579,33.1743, 294.16, 19.5185, 1
0.58,33.2316, 294.149, 19.4756, 1
0.581,33.2888, 294.139, 19.433, 1
0.582,33.3461, 294.128, 19.3904, 1
0.583,33.4034, 294.118, 19.3481, 1
0.584,33.4607, 294.107, 19.3059, 1
0.585,33.518, 294.097, 19.2638, 1
0.586,33.5753, 294.086, 19.2219, 1
0.587,33.6326, 294.076, 19.1802, 1
0.588,33.6899, 294.065, 19.1386, 1
0.589,33.7472, 294.054, 19.0972, 1
0.59,33.8045, 294.044, 19.0559, 1
0.591,33.8618, 294.033, 19.0148, 1
0.592,33.9191, 294.022, 18.9739, 1
0.593,33.9764, 294.012, 18.9331, 1
0.594,34.0337, 294.001, 18.8924, 1
0.595,34.091, 293.99, 18.852, 1
0.596,34.1483, 293.979, 18.8116, 1
0.597,34.2056, 293.969, 18.7714, 1
0.598,34.2629, 293.958, 18.7314, 1
0.599,34.3202, 293.947, 18.6915, 1
0.6,34.3775, 293.936, 18.6517, 1
0.601,34.4348, 293.925, 18.6121, 1
0.602,34.4921, 293.914, 18.5727, 1
0.603,34.5494, 293.903, 18.5334, 1
0.604,34.6067, 293.893, 18.4942, 1
0.605,34.6639, 293.882, 18.4552, 1
0.606,34.7212, 293.871, 18.4163, 1
0.607,34.7785, 293.86, 18.3776, 1
0.608,34.8358, 293.849, 18.339, 1
0.609,34.8931, 293.837, 18.3006, 1
0.61,34.9504, 293.826, 18.2623, 1
0.611,35.0077, 293.815, 18.2241, 1
0.612,35.065, 293.804, 18.1861, 1
0.613,35.1223, 293.793, 18.1482, 1
0.614,35.1796, 293.782, 18.1104, 1
0.615,35.2369, 293.771, 18.0728, 1
