a(radian), a(degree) , Eruling, Ebend, Ebend
3.36959, 193.063 , 300.152, 67.1523, 1
3.37059, 193.121 , 300.141, 67.127, 1
3.37159, 193.178 , 300.131, 67.1094, 1
3.37259, 193.235 , 300.12, 67.0993, 1
3.37359, 193.293 , 300.109, 67.0969, 1
3.37459, 193.35 , 300.098, 67.1021, 1
3.37559, 193.407 , 300.087, 67.115, 1
3.37659, 193.465 , 300.076, 67.1357, 1
3.37759, 193.522 , 300.065, 67.164, 1
3.37859, 193.579 , 300.054, 67.2001, 1
3.37959, 193.636 , 300.042, 67.2439, 1
3.38059, 193.694 , 300.031, 67.2956, 1
3.38159, 193.751 , 300.02, 67.3552, 1
3.38259, 193.808 , 300.009, 67.4226, 1
3.38359, 193.866 , 299.997, 67.498, 1
3.38459, 193.923 , 299.986, 67.5815, 1
3.38559, 193.98 , 299.974, 67.673, 1
3.38659, 194.037 , 299.962, 67.7726, 1
3.38759, 194.095 , 299.951, 67.8804, 1
3.38859, 194.152 , 299.939, 67.9964, 1
3.38959, 194.209 , 299.927, 68.1208, 1
3.39059, 194.267 , 299.915, 68.2536, 1
3.39159, 194.324 , 299.904, 68.3949, 1
3.39259, 194.381 , 299.892, 68.5448, 1
3.39359, 194.439 , 299.88, 68.7034, 1
3.39459, 194.496 , 299.868, 68.8707, 1
3.39559, 194.553 , 299.855, 69.0469, 1
3.39659, 194.61 , 299.843, 69.232, 1
3.39759, 194.668 , 299.831, 69.4262, 1
3.39859, 194.725 , 299.819, 69.6297, 1
3.39959, 194.782 , 299.806, 69.8424, 1
3.40059, 194.84 , 299.794, 70.0646, 1
3.40159, 194.897 , 299.781, 70.2964, 1
3.40259, 194.954 , 299.769, 70.5379, 1
3.40359, 195.011 , 299.756, 70.7893, 1
3.40459, 195.069 , 299.744, 71.0506, 1
3.40559, 195.126 , 299.731, 71.3222, 1
3.40659, 195.183 , 299.718, 71.6041, 1
3.40759, 195.241 , 299.705, 71.8965, 1
3.40859, 195.298 , 299.693, 72.1996, 1
3.40959, 195.355 , 299.68, 72.5136, 1
3.41059, 195.413 , 299.667, 72.8387, 1
3.41159, 195.47 , 299.654, 73.175, 1
3.41259, 195.527 , 299.64, 73.5229, 1
3.41359, 195.584 , 299.627, 73.8824, 1
3.41459, 195.642 , 299.614, 74.2539, 1
3.41559, 195.699 , 299.601, 74.6376, 1
3.41659, 195.756 , 299.587, 75.0337, 1
3.41759, 195.814 , 299.574, 75.4424, 1
3.41859, 195.871 , 299.56, 75.8642, 1
3.41959, 195.928 , 299.547, 76.2991, 1
3.42059, 195.986 , 299.533, 76.7476, 1
3.42159, 196.043 , 299.52, 77.2099, 1
3.42259, 196.1 , 299.506, 77.6864, 1
3.42359, 196.157 , 299.492, 78.1773, 1
3.42459, 196.215 , 299.478, 78.683, 1
3.42559, 196.272 , 299.464, 79.2039, 1
3.42659, 196.329 , 299.45, 79.7403, 1
3.42759, 196.387 , 299.436, 80.2927, 1
3.42859, 196.444 , 299.422, 80.8614, 1
3.42959, 196.501 , 299.408, 81.4468, 1
3.43059, 196.558 , 299.394, 82.0494, 1
3.43159, 196.616 , 299.38, 82.6696, 1
3.43259, 196.673 , 299.365, 83.3079, 1
3.43359, 196.73 , 299.351, 83.9648, 1
3.43459, 196.788 , 299.336, 84.6408, 1
3.43559, 196.845 , 299.322, 85.3365, 1
3.43659, 196.902 , 299.307, 86.0523, 1
3.43759, 196.96 , 299.293, 86.7889, 1
3.43859, 197.017 , 299.278, 87.547, 1
3.43959, 197.074 , 299.263, 88.327, 1
3.44059, 197.131 , 299.248, 89.1297, 1
3.44159, 197.189 , 299.233, 89.9559, 1
3.44259, 197.246 , 299.218, 90.8061, 1
3.44359, 197.303 , 299.203, 91.6811, 1
3.44459, 197.361 , 299.188, 92.5818, 1
3.44559, 197.418 , 299.173, 93.509, 1
3.44659, 197.475 , 299.158, 94.4635, 1
3.44759, 197.533 , 299.143, 95.4463, 1
3.44859, 197.59 , 299.127, 96.4582, 1
3.44959, 197.647 , 299.112, 97.5003, 1
3.45059, 197.704 , 299.096, 98.5737, 1
3.45159, 197.762 , 299.081, 99.6793, 1
3.45259, 197.819 , 299.065, 100.818, 1
3.45359, 197.876 , 299.049, 101.992, 1
3.45459, 197.934 , 299.034, 103.202, 1
3.45559, 197.991 , 299.018, 104.449, 1
3.45659, 198.048 , 299.002, 105.734, 1
3.45759, 198.105 , 298.986, 107.06, 1
3.45859, 198.163 , 298.97, 108.427, 1
3.45959, 198.22 , 298.954, 109.837, 1
3.46059, 198.277 , 298.938, 111.292, 1
3.46159, 198.335 , 298.922, 112.794, 1
3.46259, 198.392 , 298.906, 114.345, 1
3.46359, 198.449 , 298.889, 115.946, 1
3.46459, 198.507 , 298.873, 117.6, 1
3.46559, 198.564 , 298.856, 119.308, 1
3.46659, 198.621 , 298.84, 121.074, 1
3.46759, 198.678 , 298.823, 122.9, 1
3.46859, 198.736 , 298.807, 124.788, 1
3.46959, 198.793 , 298.79, 126.741, 1
3.47059, 198.85 , 298.773, 128.762, 1
3.47159, 198.908 , 298.756, 130.854, 1
3.47259, 198.965 , 298.739, 133.02, 1
3.47359, 199.022 , 298.722, 135.265, 1
3.47459, 199.079 , 298.705, 137.591, 1
3.47559, 199.137 , 298.688, 140.003, 1
3.47659, 199.194 , 298.671, 142.505, 1
3.47759, 199.251 , 298.654, 145.1, 1
3.47859, 199.309 , 298.636, 147.795, 1
3.47959, 199.366 , 298.619, 150.595, 1
3.48059, 199.423 , 298.601, 153.503, 1
3.48159, 199.481 , 298.584, 156.528, 1
3.48259, 199.538 , 298.566, 159.674, 1
3.48359, 199.595 , 298.549, 162.948, 1
3.48459, 199.652 , 298.531, 166.358, 1
3.48559, 199.71 , 298.513, 169.911, 1
3.48659, 199.767 , 298.495, 173.615, 1
3.48759, 199.824 , 298.477, 177.479, 1
3.48859, 199.882 , 298.459, 181.513, 1
3.48959, 199.939 , 298.441, 185.728, 1
3.49059, 199.996 , 298.423, 190.133, 1
3.49159, 200.054 , 298.405, 194.742, 1
3.49259, 200.111 , 298.386, 199.566, 1
3.49359, 200.168 , 298.368, 204.621, 1
3.49459, 200.225 , 298.35, 209.921, 1
3.49559, 200.283 , 298.331, 215.483, 1
3.49659, 200.34 , 298.312, 221.324, 1
3.49759, 200.397 , 298.294, 227.466, 1
3.49859, 200.455 , 298.275, 233.928, 1
3.49959, 200.512 , 298.256, 240.889, 1
3.50059, 200.569 , 298.229, 248.065, 1
3.50159, 200.626 , 298.202, 255.64, 1
3.50259, 200.684 , 298.175, 263.644, 1
3.50359, 200.741 , 298.148, 272.111, 1
3.50459, 200.798 , 298.121, 281.079, 1
3.50559, 200.856 , 298.093, 290.589, 1
3.50659, 200.913 , 298.066, 300.687, 1
3.50759, 200.97 , 298.038, 311.424, 1
3.50859, 201.028 , 298.011, 322.857, 1
3.50959, 201.085 , 297.983, 335.05, 1
3.51059, 201.142 , 297.955, 348.073, 1
3.51159, 201.199 , 297.927, 362.007, 1
3.51259, 201.257 , 297.899, 376.94, 1
3.51359, 201.314 , 297.871, 392.974, 1
3.51459, 201.371 , 297.843, 410.222, 1
3.51559, 201.429 , 297.815, 428.815, 1
3.51659, 201.486 , 297.786, 448.901, 1
3.51759, 201.543 , 297.758, 470.647, 1
3.51859, 201.601 , 297.729, 494.249, 1
3.51959, 201.658 , 297.7, 519.929, 1
3.52059, 201.715 , 297.672, 547.945, 1
3.52159, 201.772 , 297.643, 578.598, 1
3.52259, 201.83 , 297.614, 612.238, 1
3.52359, 201.887 , 297.584, 649.276, 1
3.52459, 201.944 , 297.555, 690.197, 1
3.52559, 202.002 , 297.526, 735.577, 1
3.52659, 202.059 , 297.496, 786.103, 1
3.52759, 202.116 , 297.467, 842.602, 1
3.52859, 202.173 , 297.437, 906.072, 1
3.52959, 202.231 , 297.407, 977.735, 1
3.53059, 202.288 , 297.378, 1059.09, 1
3.53159, 202.345 , 297.348, 1152, 1
3.53259, 202.403 , 297.318, 1258.8, 1
3.53359, 202.46 , 297.287, 1382.44, 1
3.53459, 202.517 , 297.257, 1526.73, 1
3.53559, 202.575 , 297.227, 1696.58, 1
3.53659, 202.632 , 297.196, 1898.49, 1
3.53759, 202.689 , 297.166, 2141.17, 1
3.53859, 202.746 , 297.135, 2436.48, 1
3.53959, 202.804 , 297.104, 2800.99, 1
3.54059, 202.861 , 297.073, 3258.31, 1
3.54159, 202.918 , 297.042, 3843.1, 1
3.54259, 202.976 , 297.011, 4607.84, 1
3.54359, 203.033 , 296.98, 5635.16, 1
3.54459, 203.09 , 296.948, 7061.28, 1
3.54559, 203.147 , 296.917, 9123.85, 1
3.54659, 203.205 , 296.885, 12268.4, 1
3.54759, 203.262 , 296.854, 17412.5, 1
3.54859, 203.319 , 296.822, 26706, 1
3.54959, 203.377 , 296.79, 46236, 1
3.55059, 203.434 , 296.758, 99582.5, 1
3.55159, 203.491 , 296.726, 364863, 1
3.55259, 203.549 , 296.694, 1.50315e+08, 1
3.55359, 203.606 , 296.661, 970130, 1
3.55459, 203.663 , 296.629, 152096, 1
3.55559, 203.72 , 296.596, 61033.7, 1
3.55659, 203.778 , 296.564, 32946.2, 1
3.55759, 203.835 , 296.531, 20679.7, 1
3.55859, 203.892 , 296.498, 14238.1, 1
3.55959, 203.95 , 296.465, 10441, 1
3.56059, 204.007 , 296.432, 8017.6, 1
3.56159, 204.064 , 296.399, 6378.81, 1
3.56259, 204.122 , 296.365, 5220.86, 1
3.56359, 204.179 , 296.332, 4374.24, 1
3.56459, 204.236 , 296.298, 3738.27, 1
3.56559, 204.293 , 296.265, 3250.16, 1
3.56659, 204.351 , 296.231, 2869.07, 1
3.56759, 204.408 , 296.197, 2567.58, 1
3.56859, 204.465 , 296.163, 2326.73, 1
3.56959, 204.523 , 296.129, 2133.11, 1
3.57059, 204.58 , 296.094, 1977.09, 1
3.57159, 204.637 , 296.06, 1851.59, 1
3.57259, 204.694 , 296.026, 1751.44, 1
3.57359, 204.752 , 295.991, 1672.79, 1
3.57459, 204.809 , 295.956, 1612.82, 1
3.57559, 204.866 , 295.921, 1569.52, 1
3.57659, 204.924 , 295.886, 1541.52, 1
3.57759, 204.981 , 295.851, 1528, 1
3.57859, 205.038 , 295.816, 1528.64, 1
3.57959, 205.096 , 295.781, 1543.6, 1
3.58059, 205.153 , 295.745, 1573.58, 1
3.58159, 205.21 , 295.71, 1619.81, 1
3.58259, 205.267 , 295.674, 1684.25, 1
3.58359, 205.325 , 295.638, 1769.69, 1
3.58459, 205.382 , 295.603, 1880.09, 1
3.58559, 205.439 , 295.566, 2021, 1
3.58659, 205.497 , 295.53, 2200.23, 1
3.58759, 205.554 , 295.494, 2428.92, 1
3.58859, 205.611 , 295.458, 2723.27, 1
3.58959, 205.669 , 295.421, 3107.52, 1
3.59059, 205.726 , 295.385, 3619.17, 1
3.59159, 205.783 , 295.348, 4318.65, 1
3.59259, 205.84 , 295.311, 5308.55, 1
3.59359, 205.898 , 295.274, 6774.58, 1
3.59459, 205.955 , 295.237, 9082.24, 1
3.59559, 206.012 , 295.2, 13035.5, 1
3.59659, 206.07 , 295.162, 20703.8, 1
3.59759, 206.127 , 295.125, 38867, 1
3.59859, 206.184 , 295.087, 101724, 1
3.59959, 206.241 , 295.049, 750442, 1
3.60059, 206.299 , 295.011, 1.40076e+06, 1
3.60159, 206.356 , 294.973, 125635, 1
3.60259, 206.413 , 294.935, 45037.4, 1
3.60359, 206.471 , 294.897, 24192.4, 1
3.60459, 206.528 , 294.859, 16181.1, 1
3.60559, 206.585 , 294.82, 12660, 1
3.60659, 206.643 , 294.782, 11304.1, 1
3.60759, 206.7 , 294.743, 11407.8, 1
3.60859, 206.757 , 294.704, 12985.8, 1
3.60959, 206.814 , 294.665, 16772.3, 1
3.61059, 206.872 , 294.626, 25092.9, 1
3.61159, 206.929 , 294.587, 45967.1, 1
3.61259, 206.986 , 294.547, 121130, 1
3.61359, 207.044 , 294.508, 973999, 1
3.61459, 207.101 , 294.468, 1.33456e+06, 1
3.61559, 207.158 , 294.428, 134043, 1
3.61659, 207.215 , 294.388, 47993.9, 1
3.61759, 207.273 , 294.348, 24763.7, 1
3.61859, 207.33 , 294.308, 15257.2, 1
3.61959, 207.387 , 294.268, 10442.5, 1
3.62059, 207.445 , 294.227, 7662.37, 1
3.62159, 207.502 , 294.187, 5907.31, 1
3.62259, 207.559 , 294.146, 4725.46, 1
3.62359, 207.617 , 294.105, 3889.7, 1
3.62459, 207.674 , 294.064, 3275.64, 1
3.62559, 207.731 , 294.023, 2810.41, 1
3.62659, 207.788 , 293.982, 2449.01, 1
3.62759, 207.846 , 293.941, 2162.36, 1
3.62859, 207.903 , 293.899, 1931.01, 1
3.62959, 207.96 , 293.858, 1741.52, 1
3.63059, 208.018 , 293.816, 1584.35, 1
3.63159, 208.075 , 293.774, 1452.58, 1
3.63259, 208.132 , 293.732, 1341.1, 1
3.63359, 208.19 , 293.69, 1246.04, 1
3.63459, 208.247 , 293.647, 1164.45, 1
3.63559, 208.304 , 293.605, 1094.03, 1
3.63659, 208.361 , 293.562, 1032.99, 1
3.63759, 208.419 , 293.52, 979.885, 1
3.63859, 208.476 , 293.477, 933.58, 1
3.63959, 208.533 , 293.434, 893.147, 1
3.64059, 208.591 , 293.39, 857.835, 1
3.64159, 208.648 , 293.347, 827.03, 1
3.64259, 208.705 , 293.304, 800.226, 1
3.64359, 208.762 , 293.26, 777.01, 1
3.64459, 208.82 , 293.216, 757.042, 1
3.64559, 208.877 , 293.173, 740.043, 1
3.64659, 208.934 , 293.129, 725.788, 1
3.64759, 208.992 , 293.084, 714.095, 1
3.64859, 209.049 , 293.04, 704.823, 1
3.64959, 209.106 , 292.996, 697.865, 1
3.65059, 209.164 , 292.951, 693.147, 1
3.65159, 209.221 , 292.906, 690.626, 1
3.65259, 209.278 , 292.862, 690.284, 1
3.65359, 209.335 , 292.817, 692.137, 1
3.65459, 209.393 , 292.771, 696.226, 1
3.65559, 209.45 , 292.726, 702.626, 1
3.65659, 209.507 , 292.681, 711.444, 1
3.65759, 209.565 , 292.635, 722.824, 1
3.65859, 209.622 , 292.589, 736.95, 1
3.65959, 209.679 , 292.544, 754.058, 1
3.66059, 209.737 , 292.497, 774.437, 1
3.66159, 209.794 , 292.451, 798.445, 1
3.66259, 209.851 , 292.405, 826.521, 1
3.66359, 209.908 , 292.358, 859.206, 1
3.66459, 209.966 , 292.312, 897.164, 1
3.66559, 210.023 , 292.265, 941.216, 1
3.66659, 210.08 , 292.218, 992.382, 1
3.66759, 210.138 , 292.171, 1051.94, 1
3.66859, 210.195 , 292.124, 1121.5, 1
3.66959, 210.252 , 292.076, 1203.11, 1
3.67059, 210.309 , 292.029, 1299.43, 1
3.67159, 210.367 , 291.981, 1413.9, 1
3.67259, 210.424 , 291.933, 1551.12, 1
3.67359, 210.481 , 291.885, 1717.26, 1
3.67459, 210.539 , 291.837, 1920.79, 1
3.67559, 210.596 , 291.789, 2173.6, 1
3.67659, 210.653 , 291.74, 2492.79, 1
3.67759, 210.711 , 291.692, 2903.64, 1
3.67859, 210.768 , 291.643, 3444.87, 1
3.67959, 210.825 , 291.594, 4178.17, 1
3.68059, 210.882 , 291.545, 5206.73, 1
3.68159, 210.94 , 291.496, 6713.93, 1
3.68259, 210.997 , 291.446, 9051.63, 1
3.68359, 211.054 , 291.397, 12966.9, 1
3.68459, 211.112 , 291.347, 20284.4, 1
3.68559, 211.169 , 291.297, 36498.6, 1
