a(radian), a(degree) , Eruling, Ebend, Ebend
3.43159, 196.616 , 65.7653, 37.7067, 1
3.43259, 196.673 , 65.7632, 37.8617, 1
3.43359, 196.73 , 65.7612, 38.0224, 1
3.43459, 196.788 , 65.7591, 38.1889, 1
3.43559, 196.845 , 65.757, 38.3614, 1
3.43659, 196.902 , 65.755, 38.5398, 1
3.43759, 196.96 , 65.7529, 38.7243, 1
3.43859, 197.017 , 65.7508, 38.915, 1
3.43959, 197.074 , 65.7487, 39.1121, 1
3.44059, 197.131 , 65.7465, 39.3156, 1
3.44159, 197.189 , 65.7444, 39.5258, 1
3.44259, 197.246 , 65.7423, 39.7426, 1
3.44359, 197.303 , 65.7402, 39.9662, 1
3.44459, 197.361 , 65.738, 40.1969, 1
3.44559, 197.418 , 65.7359, 40.4346, 1
3.44659, 197.475 , 65.7337, 40.6797, 1
3.44759, 197.533 , 65.7315, 40.9322, 1
3.44859, 197.59 , 65.7294, 41.1923, 1
3.44959, 197.647 , 65.7272, 41.4601, 1
3.45059, 197.704 , 65.725, 41.7359, 1
3.45159, 197.762 , 65.7228, 42.0199, 1
3.45259, 197.819 , 65.7206, 42.3121, 1
3.45359, 197.876 , 65.7183, 42.6129, 1
3.45459, 197.934 , 65.7161, 42.9224, 1
3.45559, 197.991 , 65.7139, 43.2408, 1
3.45659, 198.048 , 65.7116, 43.5684, 1
3.45759, 198.105 , 65.7094, 43.9054, 1
3.45859, 198.163 , 65.7071, 44.252, 1
3.45959, 198.22 , 65.7049, 44.6084, 1
3.46059, 198.277 , 65.7026, 44.9751, 1
3.46159, 198.335 , 65.7003, 45.3521, 1
3.46259, 198.392 , 65.698, 45.7398, 1
3.46359, 198.449 , 65.6957, 46.1384, 1
3.46459, 198.507 , 65.6934, 46.5484, 1
3.46559, 198.564 , 65.6911, 46.9699, 1
3.46659, 198.621 , 65.6888, 47.4033, 1
3.46759, 198.678 , 65.6864, 47.8491, 1
3.46859, 198.736 , 65.6841, 48.3074, 1
3.46959, 198.793 , 65.6817, 48.7787, 1
3.47059, 198.85 , 65.6794, 49.2634, 1
3.47159, 198.908 , 65.677, 49.7619, 1
3.47259, 198.965 , 65.6746, 50.2745, 1
3.47359, 199.022 , 65.6723, 50.8018, 1
3.47459, 199.079 , 65.6699, 51.3442, 1
3.47559, 199.137 , 65.6675, 51.9022, 1
3.47659, 199.194 , 65.6651, 52.4762, 1
3.47759, 199.251 , 65.6627, 53.0668, 1
3.47859, 199.309 , 65.6602, 53.6745, 1
3.47959, 199.366 , 65.6578, 54.2999, 1
3.48059, 199.423 , 65.6554, 54.9436, 1
3.48159, 199.481 , 65.6529, 55.6062, 1
3.48259, 199.538 , 65.6505, 56.2883, 1
3.48359, 199.595 , 65.648, 56.9907, 1
3.48459, 199.652 , 65.6455, 57.7139, 1
3.48559, 199.71 , 65.643, 58.4589, 1
3.48659, 199.767 , 65.6405, 59.2263, 1
3.48759, 199.824 , 65.638, 60.0169, 1
3.48859, 199.882 , 65.6355, 60.8317, 1
3.48959, 199.939 , 65.633, 61.6714, 1
3.49059, 199.996 , 65.6305, 62.5371, 1
3.49159, 200.054 , 65.628, 63.4297, 1
3.49259, 200.111 , 65.6254, 64.3503, 1
3.49359, 200.168 , 65.6229, 65.2999, 1
3.49459, 200.225 , 65.6203, 66.2797, 1
3.49559, 200.283 , 65.6177, 67.2908, 1
3.49659, 200.34 , 65.6152, 68.3346, 1
3.49759, 200.397 , 65.6126, 69.4124, 1
3.49859, 200.455 , 65.61, 70.5255, 1
3.49959, 200.512 , 65.6074, 71.6755, 1
3.50059, 200.569 , 65.6048, 72.8638, 1
3.50159, 200.626 , 65.6022, 74.0921, 1
3.50259, 200.684 , 65.5995, 75.3622, 1
3.50359, 200.741 , 65.5969, 76.6759, 1
3.50459, 200.798 , 65.5943, 78.035, 1
3.50559, 200.856 , 65.5916, 79.4417, 1
3.50659, 200.913 , 65.5889, 80.8981, 1
3.50759, 200.97 , 65.5863, 82.4064, 1
3.50859, 201.028 , 65.5836, 83.9692, 1
3.50959, 201.085 , 65.5809, 85.5888, 1
3.51059, 201.142 , 65.5782, 87.2682, 1
3.51159, 201.199 , 65.5755, 89.01, 1
3.51259, 201.257 , 65.5728, 90.8175, 1
3.51359, 201.314 , 65.5701, 92.6938, 1
3.51459, 201.371 , 65.5673, 94.6425, 1
3.51559, 201.429 , 65.5646, 96.6672, 1
3.51659, 201.486 , 65.5618, 98.7718, 1
