a(radian),a(degree),Eruling, Ebend
0.205,11.7456, 84.3574, 36.7454, 1
0.206,11.8029, 84.3535, 36.4866, 1
0.207,11.8602, 84.3496, 36.2307, 1
0.208,11.9175, 84.3457, 35.9779, 1
0.209,11.9748, 84.3417, 35.7279, 1
0.21,12.0321, 84.3378, 35.4809, 1
0.211,12.0894, 84.3338, 35.2367, 1
0.212,12.1467, 84.3298, 34.9952, 1
0.213,12.204, 84.3259, 34.7565, 1
0.214,12.2613, 84.3219, 34.5205, 1
0.215,12.3186, 84.3179, 34.2872, 1
0.216,12.3759, 84.3138, 34.0565, 1
0.217,12.4332, 84.3098, 33.8283, 1
0.218,12.4905, 84.3057, 33.6027, 1
0.219,12.5478, 84.3017, 33.3796, 1
0.22,12.6051, 84.2976, 33.159, 1
0.221,12.6624, 84.2935, 32.9407, 1
0.222,12.7197, 84.2894, 32.7249, 1
0.223,12.777, 84.2853, 32.5114, 1
0.224,12.8343, 84.2812, 32.3002, 1
0.225,12.8916, 84.277, 32.0913, 1
0.226,12.9488, 84.2729, 31.8847, 1
0.227,13.0061, 84.2687, 31.6802, 1
0.228,13.0634, 84.2645, 31.478, 1
0.229,13.1207, 84.2603, 31.2779, 1
0.23,13.178, 84.2561, 31.0798, 1
0.231,13.2353, 84.2519, 30.8839, 1
0.232,13.2926, 84.2477, 30.6901, 1
0.233,13.3499, 84.2434, 30.4982, 1
0.234,13.4072, 84.2392, 30.3084, 1
0.235,13.4645, 84.2349, 30.1205, 1
0.236,13.5218, 84.2306, 29.9345, 1
0.237,13.5791, 84.2263, 29.7505, 1
0.238,13.6364, 84.222, 29.5684, 1
0.239,13.6937, 84.2176, 29.3881, 1
0.24,13.751, 84.2133, 29.2096, 1
0.241,13.8083, 84.209, 29.0329, 1
0.242,13.8656, 84.2046, 28.8581, 1
0.243,13.9229, 84.2002, 28.6849, 1
0.244,13.9802, 84.1958, 28.5135, 1
0.245,14.0375, 84.1914, 28.3438, 1
0.246,14.0948, 84.187, 28.1758, 1
0.247,14.1521, 84.1826, 28.0095, 1
0.248,14.2094, 84.1781, 27.8448, 1
0.249,14.2666, 84.1736, 27.6817, 1
0.25,14.3239, 84.1692, 27.5202, 1
0.251,14.3812, 84.1647, 27.3603, 1
0.252,14.4385, 84.1602, 27.2019, 1
0.253,14.4958, 84.1557, 27.045, 1
0.254,14.5531, 84.1511, 26.8897, 1
0.255,14.6104, 84.1466, 26.7358, 1
0.256,14.6677, 84.142, 26.5835, 1
0.257,14.725, 84.1375, 26.4325, 1
0.258,14.7823, 84.1329, 26.283, 1
